Name,Sex,index,Count
Abdallah,M,819235,1317
Abdalrahman,M,533945,180
Abdalrhman,M,31773,5
Abdel,M,937736,629
Abdelaziz,M,453632,106
Abdelhadi,M,32108,5
Abdelhamid,M,31006,5
Abdelkader,M,30601,5
Abdelkareem,M,58713,10
Abdelkarim,M,174351,32
Abdellah,M,119353,24
Abdelrahman,M,676676,583
Abdelrhman,M,30576,6
Abderrahman,M,31775,5
Abdi,F,32540,10
Abdi,M,532114,277
Abdia,F,16206,5
Abdias,M,759781,650
Abdiasis,M,31498,6
Abdiaziz,M,427415,166
Abdiel,M,790741,4593
Abdifatah,M,489801,235
Abdihafid,M,86398,21
Abdihakim,M,237828,49
Abdihamid,M,58872,10
Abdikadir,M,377433,151
Abdikarim,M,147653,28
Abdikhaliq,M,31847,5
Abdilahi,M,63826,10
Abdimalik,M,475832,217
Abdinajib,M,31366,5
Abdinasir,M,549807,174
Abdiqani,M,115748,27
Abdirahim,M,316827,83
Abdirahin,M,29733,6
Abdirahman,M,518722,1759
Abdirashid,M,171163,40
Abdirisaq,M,60331,12
Abdirizak,M,345393,87
Abdirizaq,M,30122,5
Abdisalam,M,30186,5
Abdisalan,M,62094,11
Abdisamad,M,122525,23
Abdishakur,M,254950,69
Abdiwahab,M,92033,19
Abdiwali,M,31848,5
Abdo,M,263966,67
Abdon,M,884718,359
Abdou,M,651729,229
Abdoul,M,607160,453
Abdoulaye,M,602886,694
Abdoulaziz,M,64862,10
Abdoulie,M,376092,120
Abdourahman,M,60856,11
Abdourahmane,M,120992,23
Abdrahman,M,92795,15
Abdrew,M,20302,6
Abdriel,M,55936,14
Abdu,M,103928,32
Abdual,M,49738,17
Abduallah,M,185265,32
Abduel,M,16077,5
Abdul,M,1081642,5846
Abdula,M,115093,39
Abdulah,M,309784,75
Abdulahad,M,316142,89
Abdulahi,M,547287,428
Abdulai,M,348226,83
Abdulaye,M,31851,5
Abdulazeem,M,32674,5
Abdulazeez,M,145743,30
Abdulazim,M,30605,5
Abdulaziz,M,794558,1326
Abdulbari,M,31777,5
Abdulbasit,M,85738,25
Abdule,M,14877,6
Abdulelah,M,175244,39
Abdulghani,M,59260,11
Abdulhaadi,M,31012,5
Abdulhadi,M,382459,136
Abdulhakeem,M,157504,45
Abdulhakim,M,90684,16
Abdulhalim,M,28011,5
Abdulhameed,M,61622,11
Abdulhamid,M,319407,76
Abduljabbar,M,154234,26
Abduljaleel,M,31853,5
Abduljalil,M,33017,5
Abdulkadir,M,484823,132
Abdulkareem,M,613016,191
Abdulkarim,M,552358,158
Abdulkhaliq,M,89421,18
Abdull,M,18448,5
Abdulla,M,845202,441
Abdullah,M,911585,7230
Abdullahi,M,529558,1429
Abdullatif,M,181954,42
Abdulloh,M,196908,60
Abdulmajeed,M,182011,36
Abdulmajid,M,119238,21
Abdulmalek,M,32054,5
